Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
LC86,10uF,C_0805_2012Metric,419.0736,-300.0186,180,bottom
LC87,10uF,C_0805_2012Metric,442.8846,-300.0186,180,bottom
LC88,10uF,C_0805_2012Metric,473.8389,-300.0186,180,bottom
LC89,10uF,C_0805_2012Metric,492.8877,-300.0186,180,bottom
LC90,10uF,C_0805_2012Metric,509.5554,-302.556,90,bottom
Q1,DTC123J,SOT-23,259.14305,-290.4942,0,bottom
R1,330,R_0805_2012Metric,472.2515,-261.921,180,bottom
R2,22,R_0805_2012Metric,280.5761,-198.1201,270,bottom
R3,22,R_0805_2012Metric,366.29255,-196.8376,90,bottom
R4,22,R_0805_2012Metric,282.9572,-198.1201,270,bottom
R5,390,R_0805_2012Metric,317.08315,-290.4942,90,bottom
R6,22,R_0805_2012Metric,368.67365,-196.8376,90,bottom
R7,330,R_0805_2012Metric,476.22,-261.921,180,bottom
R8,5.1K,R_0805_2012Metric,278.19185,-181.7573,180,bottom
R9,5.1K,R_0805_2012Metric,285.732,-181.7573,0,bottom
R10,5.1K,R_0805_2012Metric,364.3083,-181.7573,180,bottom
R11,5.1K,R_0805_2012Metric,371.4516,-182.551,0,bottom
R12,10k,R_0805_2012Metric,160.3274,-178.5825,0,bottom
R13,10k,R_0805_2012Metric,150.0093,-176.9951,90,bottom
R14,10k,R_0805_2012Metric,508.7617,-191.2817,180,bottom
R15,10k,R_0805_2012Metric,510.3491,-183.3447,45,bottom
R16,0,R_0805_2012Metric,311.52725,-297.6375,270,bottom
R17,330,R_0805_2012Metric,480.1885,-261.921,180,bottom
R18,330,R_0805_2012Metric,484.157,-261.921,180,bottom
R19,22,R_0805_2012Metric,500.8247,-205.96515,180,bottom
R20,22,R_0805_2012Metric,500.8247,-203.58405,180,bottom
R21,100k,R_0805_2012Metric,461.9334,-253.1903,270,bottom
R22,47k,R_0805_2012Metric,469.0767,-253.1903,270,bottom
R23,100k,R_0805_2012Metric,471.4578,-253.1903,90,bottom
R24,22,R_0805_2012Metric,487.72865,-198.425,270,bottom
R25,22,R_0805_2012Metric,485.34755,-198.425,270,bottom
R26,330,R_0805_2012Metric,488.1255,-260.3336,0,bottom
R27,5.1K,R_0805_2012Metric,504.7932,-208.7431,270,bottom
R28,5.1K,R_0805_2012Metric,507.968,-201.5998,180,bottom
R29,330,R_0805_2012Metric,492.094,-260.3336,0,bottom
R30,100k,R_0805_2012Metric,259.14305,-295.2564,270,bottom
R31,22,R_0805_2012Metric,153.9778,-205.96515,0,bottom
R32,330,R_0805_2012Metric,496.0625,-260.3336,0,bottom
R33,22,R_0805_2012Metric,153.9778,-203.58405,0,bottom
R34,22,R_0805_2012Metric,192.47225,-195.64705,270,bottom
R35,5.1K,R_0805_2012Metric,146.0408,-200.8061,90,bottom
R36,5.1K,R_0805_2012Metric,146.0408,-207.9494,0,bottom
R37,22,R_0805_2012Metric,190.09115,-195.64705,270,bottom
R38,330,R_0805_2012Metric,461.1397,-261.1273,90,bottom
R39,10k,R_0805_2012Metric,514.3176,-194.4565,0,bottom
R40,10k,R_0805_2012Metric,155.5652,-178.5825,180,bottom
R41,2.7k,R_0805_2012Metric,447.6468,-247.6344,0,bottom
R42,1.5k,R_0805_2012Metric,349.228,-296.1689,90,bottom
R43,22,R_0805_2012Metric,345.2595,-292.8753,0,bottom
R44,22,R_0805_2012Metric,345.2595,-296.0501,0,bottom
R45,22,R_0805_2012Metric,502.01525,-278.5887,270,bottom
